id,section,section_title_he,source_lessons,section_goal_he,node_title_he,skill_he,explain_he,exercise,items_he,trap_feedback_he,pass_rule,node_source
4.c.5.2,5,Eye Catchers · מילות שלילה,"L3 · דפוס P4 · טקסטים GIVING TIME, GAINING HAPPINESS · THE SLEEP QUESTION · THE BOREDOM STUDY","התלמיד עוצר אוטומטית כשהוא רואה NOT בשאלה, ומחליף את כיוון החיפוש.",סימון שלילה בטקסט,סימון כל מילות השלילה בפסקה.,"שלילה היא Eye Catcher כי היא משנה את המשמעות של כל המשפט. סמן אותה תוך כדי קריאה — ואז כשתגיע לשאלה, אתה כבר יודע איפה נמצאים המשפטים ההפוכים.","MARK · טקסט GIVING TIME, GAINING HAPPINESS · 8 יעדים",,,90% · עד 2 מיותרים.,"L3 · ספירת המורה: ""Negative words: without, not, not, However, not all, not, not, no → 8"""
4.c.5.3,5,Eye Catchers · מילות שלילה,"L3 · דפוס P4 · טקסטים GIVING TIME, GAINING HAPPINESS · THE SLEEP QUESTION · THE BOREDOM STUDY","התלמיד עוצר אוטומטית כשהוא רואה NOT בשאלה, ומחליף את כיוון החיפוש.",`not` מול `not all`,התלמיד מבחין בין שלילה מוחלטת לשלילה חלקית.,"not פירושו אף אחד. not all פירושו חלק כן וחלק לא — וזה הפוך לגמרי. כשהטקסט אומר not all types of volunteering produce the same results, הוא לא אומר ששום סוג לא עובד. הוא אומר שחלק מהסוגים כן. שאלות שלמות נופלות על ההבדל הזה.","CLASSIFY · 6 משפטים · ""אף אחד לא"" מול ""חלק כן, חלק לא""","""not all types of volunteering produce the same results"" → חלק מהסוגים כן ⏐ ""No app can replace a real conversation."" → אף אפליקציה לא ⏐ ""not all experts agree"" → חלק מהמומחים מסכימים ⏐ ""Many of them never try to learn."" → הם באמת לא מנסים ⏐ ""not all of these improvements were caused by the forest itself"" → חלק מהשיפור כן נגרם מהיער ⏐ ""not all the students who handwrote scored higher"" → חלק מהם כן קיבלו ציון גבוה יותר","""not all אינו not. הטקסט לא שולל את כל הסוגים — הוא אומר שיש הבדל ביניהם. זו בדיוק ההבחנה שהשאלה בודקת.""",5/6.,L3 · טעות מתועדת מספר 1
4.c.5.4,5,Eye Catchers · מילות שלילה,"L3 · דפוס P4 · טקסטים GIVING TIME, GAINING HAPPINESS · THE SLEEP QUESTION · THE BOREDOM STUDY","התלמיד עוצר אוטומטית כשהוא רואה NOT בשאלה, ומחליף את כיוון החיפוש.",P4 — NOT בשאלה = עצור,התלמיד מחליף את כיוון החיפוש כשהשאלה מכילה NOT.,"כשאתה רואה NOT בשאלה, עצור ואמור לעצמך במפורש: אני לא מחפש מה נכון. אני מחפש את המשפט השקרי. שלוש מהאפשרויות יהיו נכונות לחלוטין — הן לא התשובה. זה מרגיש הפוך, ולכן צריך לומר את זה בקול.",MCQ · 4 פריטים,"i) Dr. Okafor studied volunteering and mental health for ten years. — נכון, מופיע בטקסט ⏐ ii) All types of volunteering produce the same results. ✓ התשובה — הטקסט אומר not all types produce the same results ⏐ iii) Teenagers who volunteer feel less stressed than those who do not. — נכון ⏐ iv) Dr. Okafor found that young volunteers sleep better. — נכון","""בחרת משפט נכון. זו בדיוק המלכודת של שאלת NOT: שלוש האפשרויות הנכונות אינן התשובה. חזור וחפש את היחידה שסותרת את הטקסט.""",3/4.,L3 · Q1 + I DO script
4.c.5.5,5,Eye Catchers · מילות שלילה,"L3 · דפוס P4 · טקסטים GIVING TIME, GAINING HAPPINESS · THE SLEEP QUESTION · THE BOREDOM STUDY","התלמיד עוצר אוטומטית כשהוא רואה NOT בשאלה, ומחליף את כיוון החיפוש.",לבדוק את כל ארבע האפשרויות,בשאלת NOT התלמיד מסמן נכון/שקר לכל אפשרות לפני שבוחר.,"בשאלת NOT אין קיצור דרך. עבור על ארבע האפשרויות, ולכל אחת מצא משפט בטקסט שמאשר או סותר. האפשרות שנשארת בלי אישור — היא התשובה.",MCQ + MARK · 3 פריטים · לכל אפשרות: תיוג נכון/שקר + סימון משפט ההוכחה,"i) Sleep quality is more important than sleep quantity — נכון: *""the quality of sleep matters more than the quantity""* ⏐ ii) Six hours of deep sleep is more restful than nine hours of broken sleep — נכון: *""people who sleep for six hours of deep, uninterrupted sleep feel more rested""* ⏐ iii) The number of hours you sleep is the most important factor ✓ התשובה — הטקסט אומר *""The most important factor is not the number of hours, but the depth of the sleep""* ⏐ iv) Dr. Webb recommends avoiding screens before bed — נכון: *""She recommends that people avoid screens for at least one hour before going to bed""*",,3/3 בסימון הנכון/שקר.,L3 · Timed Challenge
4.c.5.6,5,Eye Catchers · מילות שלילה,"L3 · דפוס P4 · טקסטים GIVING TIME, GAINING HAPPINESS · THE SLEEP QUESTION · THE BOREDOM STUDY","התלמיד עוצר אוטומטית כשהוא רואה NOT בשאלה, ומחליף את כיוון החיפוש.",שער סקשן 5,,,CHECK · 6 פריטים · טקסט THE BOREDOM STUDY,"T2: ""Which statement is NOT true according to the text?"" → ii) All types of boredom have the same positive effect — הטקסט: *""not all types of boredom have the same effect""*",,80%.,
4.c.6.1,6,Eye Catchers · מילות הגבלה,L3 · דפוס P5 · טקסט GIVING TIME,"כשהשאלה או הטקסט מכילים most, only, main — התלמיד מצמצם לתשובה יחידה ופוסל כל אפשרות מכלילה.",מילון ההגבלה,זיהוי שש מילות ההגבלה.,"main, most, only, every, best, the main reason — כל אחת מהן אומרת: יש כאן דבר אחד, לא כמה. כשמילה כזאת מופיעה בשאלה, התשובה הנכונה מדברת על דבר אחד מוגדר.",VOCAB · 6 מילים.,,,5/6.,
4.c.6.2,6,Eye Catchers · מילות הגבלה,L3 · דפוס P5 · טקסט GIVING TIME,"כשהשאלה או הטקסט מכילים most, only, main — התלמיד מצמצם לתשובה יחידה ופוסל כל אפשרות מכלילה.",סימון בטקסט,,,"MARK · טקסט GIVING TIME · יעדים: main reason (פסקה I) · most effective (פסקה II) · וב-SLEEP QUESTION: most people, most important factor",,,90%.,"L3 · ""Key limiters: main, most → 2"""
4.c.6.3,6,Eye Catchers · מילות הגבלה,L3 · דפוס P5 · טקסט GIVING TIME,"כשהשאלה או הטקסט מכילים most, only, main — התלמיד מצמצם לתשובה יחידה ופוסל כל אפשרות מכלילה.","P5 — ""most effective"" פירושו אחד",התלמיד פוסל אפשרות שמכלילה כשהטקסט מגביל.,"הטקסט אומר: the most effective programmes bring young people face to face with the people they help — not online activities. שים לב מה נאמר כאן: לא ""התנדבות עוזרת"", אלא ""סוג אחד של התנדבות הוא היעיל ביותר"". תשובה שמדברת על התנדבות בכלל — שגויה, גם אם היא נכונה עובדתית.",MCQ · 4 פריטים,"✓ ""The most effective volunteering brings young people face to face with those they help."" ⏐ ✗ ""All volunteering produces the same benefits."" — סותר את not all types ⏐ ✗ ""Online volunteering is the most effective."" — הפוך מהטקסט ⏐ ✗ ""Volunteering makes teenagers happy."" — נכון בטקסט, אבל לא עונה על ""מה הכי יעיל""","""בחרת אפשרות כללית. most effective בשאלה מחייב תשובה שמצביעה על סוג אחד — לא על התופעה כולה.""",3/4.,"L3 · טעות מתועדת: ""sees 'most effective' but picks an option about all types"""
4.c.6.4,6,Eye Catchers · מילות הגבלה,L3 · דפוס P5 · טקסט GIVING TIME,"כשהשאלה או הטקסט מכילים most, only, main — התלמיד מצמצם לתשובה יחידה ופוסל כל אפשרות מכלילה.",הגבלה בשאלה מול הגבלה בטקסט,התלמיד מזהה שהשאלה מבקשת סיבה אחת בלבד.,What is the main reason... פירושו שבטקסט יש סיבה אחת שסומנה כעיקרית. תשובה שמונה שתי סיבות תיפסל — גם אם שתיהן מופיעות בטקסט.,MCQ · 4 פריטים · פסילת תשובות שמונות שתי סיבות,,,3/4.,
4.c.6.5,6,Eye Catchers · מילות הגבלה,L3 · דפוס P5 · טקסט GIVING TIME,"כשהשאלה או הטקסט מכילים most, only, main — התלמיד מצמצם לתשובה יחידה ופוסל כל אפשרות מכלילה.",שער סקשן 6,,,CHECK · 5 פריטים · סימון + שאלות most/only,,,80%.,
4.c.7.1,7,Eye Catchers · ניגוד,L3 · דפוס P6 · טקסטים SLEEP QUESTION · BOREDOM STUDY · SCREEN TIME,אחרי however נמצא המידע שהשאלה מחפשת — התלמיד ממשיך לקרוא במקום לעצור.,מילון הניגוד,זיהוי חמש מילות הניגוד.,"however, but, although, while, despite — כולן אומרות אותו דבר: מה שאמרתי עד עכשיו, עכשיו אני הופך. ההבדל ביניהן הוא דקדוקי בלבד, ואליו נגיע בסקשן הכתיבה.",VOCAB · 5 מילים,"however → אולם / אבל → ""However, experts say it is never too late."" ⏐ but → אבל → ""not the number of hours, but the depth of the sleep"" ⏐ although → למרות ש → ""Although it was free, nobody came."" ⏐ while → בעוד ש → ""Some programs meet once a week, while others offer three sessions."" ⏐ despite → למרות → ""Despite the problems, he succeeded.""",,4/5.,
4.c.7.2,7,Eye Catchers · ניגוד,L3 · דפוס P6 · טקסטים SLEEP QUESTION · BOREDOM STUDY · SCREEN TIME,אחרי however נמצא המידע שהשאלה מחפשת — התלמיד ממשיך לקרוא במקום לעצור.,P6 — המידע החשוב נמצא אחרי,התלמיד ממשיך לקרוא אחרי מילת הניגוד במקום לעצור לפניה.,"תלמידים קוראים עד however, מוצאים משפט שנשמע כמו תשובה, ועוצרים. זו טעות: מילת הניגוד קיימת בדיוק כדי לבטל את מה שלפניה. המידע החדש — זה שהשאלה מחפשת — תמיד אחריה.",MARK · 6 פריטים · סימון החלק שאחרי מילת הניגוד,"""Most people know that sleep is important. However, a new study shows that the quality of sleep matters more than the quantity."" → the quality of sleep matters more than the quantity ⏐ ""Many of them feel embarrassed. However, experts say it is never too late."" → experts say it is never too late ⏐ ""Most experts agree that too much screen time can harm children. However, a new study suggests that screen time is not always harmful."" → screen time is not always harmful ⏐ ""The first group exercised 30 minutes. However, the second group reported feeling more energetic."" → the second group reported feeling more energetic ⏐ ""Boredom allows the brain to wander. However, she warns that not all types of boredom have the same effect."" → not all types of boredom have the same effect ⏐ ""Every year the world loses 15 billion trees. However, there are reasons to be hopeful."" → there are reasons to be hopeful","""סימנת את מה שלפני however — וזה בדיוק מה שהמשפט בא לבטל. המידע החדש נמצא אחריה.""",90%.,"L3 · טעות מתועדת: ""Student ignores 'however' — the important info is AFTER"""
4.c.7.3,7,Eye Catchers · ניגוד,L3 · דפוס P6 · טקסטים SLEEP QUESTION · BOREDOM STUDY · SCREEN TIME,אחרי however נמצא המידע שהשאלה מחפשת — התלמיד ממשיך לקרוא במקום לעצור.,הניגוד כתשובה חבויה,התלמיד מאתר תשובה שנמצאת רק במשפט שאחרי הניגוד.,"יש שאלות שהתשובה עליהן קיימת רק בחלק שאחרי however. מי שעוצר לפני, פשוט לא ימצא אותה בשום מקום ויחשוב שהשאלה קשה.",GAP · 4 פריטים,"""What does the text say about people who sleep for nine hours?"" (SLEEP QUESTION) → *may not feel as rested as those who sleep six hours of uninterrupted sleep* ⏐ ""What did the second group report?"" (EXERCISE MYTH) → *feeling more energetic and less stressed* ⏐ ""What type of boredom produced the result?"" (BOREDOM STUDY) → *only passive boredom, such as watching a blank screen* ⏐ ""What does Dr. Park's study suggest about screen time?"" (SCREEN TIME) → *that screen time is not always harmful*",,3/4.,
4.c.7.4,7,Eye Catchers · ניגוד,L3 · דפוס P6 · טקסטים SLEEP QUESTION · BOREDOM STUDY · SCREEN TIME,אחרי however נמצא המידע שהשאלה מחפשת — התלמיד ממשיך לקרוא במקום לעצור.,ארבע המשפחות בטקסט אחד,"סריקה אחת שמסמנת את כל ארבע המשפחות, בלי סימון-יתר.","זה התרגיל שמאחד את כל מה שלמדת בסקשנים 3 עד 7. סריקה אחת, ארבעה סוגי סימון, לפני שקראת שאלה אחת. שים לב: המטרה היא לצמצם. אם סימנת חצי טקסט — לא סיננת כלום, וזה בדיוק כמו לא לסמן.",MARK · טקסט THE SLEEP QUESTION מלא · ~15 יעדים בארבעה צבעים,מספרים: six hours · nine hours · one hour ⏐ שמות: National Sleep Research Centre · Dr. Claire Webb ⏐ שלילה: not the number of hours ⏐ הגבלה: Most people · the most important factor ⏐ ניגוד: However · but,,90% מהיעדים · עד 2 מיותרים.,
4.c.7.5,7,Eye Catchers · ניגוד,L3 · דפוס P6 · טקסטים SLEEP QUESTION · BOREDOM STUDY · SCREEN TIME,אחרי however נמצא המידע שהשאלה מחפשת — התלמיד ממשיך לקרוא במקום לעצור.,שער סקשן 7,,,CHECK · TIMED · סימון טקסט חדש + 3 שאלות שמכסות P4 · P5 · P6,,,80%.,
4.c.8.1,8,הרמזור — לבדוק לפני שעונים,L4 · דפוס P8 · טקסטים GIVING TIME · BOREDOM STUDY,"התלמיד יודע להבחין בין ""אני יודע"" לבין ""אני מנחש"", ופועל אחרת בכל מקרה.",שלושת הצבעים,סיווג מצב לצבע.,"לפני כל תשובה, שאל את עצמך שאלה אחת: מה הצבע שלי? אדום — אני לא מבין את השאלה. צהוב — אני מבין את השאלה, אבל אין לי משפט מהטקסט שמוכיח את התשובה. ירוק — אני מבין את השאלה ויכול להצביע על המשפט. רק ירוק הוא תשובה סופית.",CLASSIFY · 6 מצבים,"""יש לי משפט מהטקסט שאומר בדיוק את זה"" → ירוק ⏐ ""לא הבנתי מילה מרכזית בשאלה"" → אדום ⏐ ""נשמע הכי הגיוני מבין הארבע"" → צהוב ⏐ ""אני יודע את זה מהחיים"" → צהוב ⏐ ""מצאתי את זה בפסקה III כמו שהשאלה ביקשה"" → ירוק ⏐ ""אני לא בטוח מה השאלה מבקשת ממני"" → אדום",,5/6.,
4.c.8.2,8,הרמזור — לבדוק לפני שעונים,L4 · דפוס P8 · טקסטים GIVING TIME · BOREDOM STUDY,"התלמיד יודע להבחין בין ""אני יודע"" לבין ""אני מנחש"", ופועל אחרת בכל מקרה.","אדום — חזרה לשאלה, לא לטקסט","כשלא מבינים את השאלה, מפרקים את השאלה ולא מתרגמים את הטקסט.","אדום פירושו שהבעיה בשאלה, לא בטקסט. אל תתחיל לתרגם פסקאות. חזור לשאלה, מצא את המילה האחת שלא הבנת, וטפל רק בה. אם מותר מילון — הוא לשאלה, לא לטקסט.",MCQ · 4 תרחישים,"""לא הבנתי מילה אחת בשאלה"" → תרגם את המילה הזו בלבד (לא: תרגם את כל השאלה) ⏐ ""לא הבנתי את כל השאלה"" → פרק לפי P1: מה מילות המפתח? ⏐ ""הטקסט מלא במילים שאני לא מכיר"" → זה לא אדום; אתה לא צריך את רובן ⏐ ""אני לא יודע כלום על הנושא"" → זה לא אדום; התשובה בטקסט","""תרגמת את כל השאלה כשמילה אחת הייתה חסרה. זה בזבוז זמן שיחסר לך אחר כך.""",3/4.,"L4 · טעויות מתועדות: ""uses dictionary for text words"" · ""translates every word in the question when only ONE keyword was unclear"""
4.c.8.3,8,הרמזור — לבדוק לפני שעונים,L4 · דפוס P8 · טקסטים GIVING TIME · BOREDOM STUDY,"התלמיד יודע להבחין בין ""אני יודע"" לבין ""אני מנחש"", ופועל אחרת בכל מקרה.",צהוב — לחפש משפט,"התלמיד מזהה שתשובה בלי הוכחה היא צהובה, לא ירוקה.","""נשמע נכון"" הוא הצבע הצהוב. זה לא אומר שאתה טועה — זה אומר שעוד לא סיימת. חזור לטקסט וחפש משפט. מצאת — הפכת לירוק. לא מצאת בתוך 30 שניות — סמן ועבור.",MCQ · 5 תשובות עם נימוק · סיווג לצבע,,,4/5.,
4.c.8.4,8,הרמזור — לבדוק לפני שעונים,L4 · דפוס P8 · טקסטים GIVING TIME · BOREDOM STUDY,"התלמיד יודע להבחין בין ""אני יודע"" לבין ""אני מנחש"", ופועל אחרת בכל מקרה.",ירוק אמיתי — הוכחה ועוד ניסוח,התלמיד מאמת ירוק בשתי דרישות: משפט הוכחה + יכולת לנסח את השאלה בעברית.,"ירוק דורש שני דברים, לא אחד: יש לי משפט מהטקסט, וגם אני יכול להגיד בעברית מה השאלה מבקשת. אם אתה לא מצליח להגיד את השאלה במילים שלך — אתה צהוב, גם אם מצאת משפט שנראה מתאים.",MARK + WRITE · 4 פריטים · סימון משפט + ניסוח השאלה בעברית בשלוש מילים,,"""סימנת משפט, אבל לא הצלחת לנסח מה נשאל. זה צהוב — ותשובות צהובות הן אלה שנופלות.""",3/4.,"L4 · טעות מתועדת: ""marks GREEN but cannot explain the question in Hebrew — this is actually YELLOW"""
4.c.8.5,8,הרמזור — לבדוק לפני שעונים,L4 · דפוס P8 · טקסטים GIVING TIME · BOREDOM STUDY,"התלמיד יודע להבחין בין ""אני יודע"" לבין ""אני מנחש"", ופועל אחרת בכל מקרה.",דירוג לפני הגשה,התלמיד מצמיד צבע לכל תשובה לפני שמסיים.,"בסוף כל סט שאלות, עבור על התשובות שלך וסמן לכל אחת צבע. הצהובות הן רשימת המשימות שלך אם נשאר זמן. זה גם מה שיגיד לך, אחרי הסימולציה, איפה בדיוק אתה מפסיד נקודות.",CLASSIFY · 4 תשובות שהתלמיד עצמו נתן בצומת קודם,,,דירוג מלא.,
4.c.8.6,8,הרמזור — לבדוק לפני שעונים,L4 · דפוס P8 · טקסטים GIVING TIME · BOREDOM STUDY,"התלמיד יודע להבחין בין ""אני יודע"" לבין ""אני מנחש"", ופועל אחרת בכל מקרה.",שער סקשן 8,,,CHECK · 6 פריטים · שאלות + דירוג צבע לכל אחת,,,80% בתשובות וגם התאמה בין הצבע שהתלמיד נתן לבין נכונות התשובה (מדד כיול).,
4.c.9.1,9,שאלות פרט,L5 · דפוס P9 · טקסטים THE SLEEP DEBATE · GIVING TIME,"תשובה קצרה, בלשון הטקסט, עם משפט הוכחה מסומן.",מילות שאלות פרט,זיהוי הפורמט מתוך ניסוח השאלה.,"mention, state, describe, according to the text — כל אלה אומרים דבר אחד: התשובה כתובה בטקסט במפורש. אתה לא צריך להסיק, לפרש או לחשוב. אתה צריך למצוא.","VOCAB · 5 מילים · כולל despite, improve, cause, require, quality מ-Circle 2",,,4/5.,
4.c.9.2,9,שאלות פרט,L5 · דפוס P9 · טקסטים THE SLEEP DEBATE · GIVING TIME,"תשובה קצרה, בלשון הטקסט, עם משפט הוכחה מסומן.","קודם ההוכחה, אחר כך התשובה",התלמיד מסמן את משפט ההוכחה לפני שהוא כותב.,"סדר קבוע: קודם מסמנים את המשפט בטקסט, אחר כך כותבים. הסדר ההפוך — לכתוב מהזיכרון ואז לחפש הצדקה — הוא איך שתלמידים כותבים תשובות שנשמעות טוב ולא מדויקות.",MARK → GAP · 4 פריטים · שני שלבים לכל שאלה,"""How many students did Dr. Fatima Hasan study?"" → *""examined 3,000 high school students over four years""* → 3,000 high school students ⏐ ""According to Professor Tanaka, what is more important?"" → *""the quality of sleep is more important than the quantity""* → the quality of sleep ⏐ ""What did Dr. Okafor find about teenagers who volunteer?"" → *""teenagers who volunteer feel less stressed and sleep better""* → they feel less stressed and sleep better ⏐ ""What does Professor Mills argue?"" → *""helping others teaches young people skills that no classroom can ever replace""* → that helping others teaches skills no classroom can replace",,3/4 · חובה סימון לפני כתיבה.,"L5 · ""Underline the proof sentence first, then write"""
4.c.9.3,9,שאלות פרט,L5 · דפוס P9 · טקסטים THE SLEEP DEBATE · GIVING TIME,"תשובה קצרה, בלשון הטקסט, עם משפט הוכחה מסומן.",במילים של הטקסט,התלמיד משתמש בלשון הטקסט ולא בניסוח עצמאי.,"אתה לא נבחן על יצירתיות. ניסוח מחדש מהראש מכניס שגיאות דקדוק ולפעמים משנה את המשמעות. קח את המילים מהטקסט, התאם אותן למשפט שלך, וזהו.",WRITE · 4 פריטים · rubric גלוי,,,3 מתוך 3 קריטריונים בשלושה פריטים מתוך ארבעה.,"L5 · טעות מתועדת: ""writes their own opinion instead of text words"""
4.c.9.4,9,שאלות פרט,L5 · דפוס P9 · טקסטים THE SLEEP DEBATE · GIVING TIME,"תשובה קצרה, בלשון הטקסט, עם משפט הוכחה מסומן.",לספור מילים בתשובה,התלמיד מקצר תשובה ארוכה בלי לאבד תוכן.,תשובה של 25 מילים לשאלה שביקשה תשובה אחת היא סיכון מיותר: כל משפט נוסף הוא הזדמנות לשגיאת דקדוק. תרגל לקצר.,WRITE · 3 פריטים · קיצור תשובה נתונה לשמונה מילים,,,2/3.,"L5 · ""gives a long answer when the question says ONE answer"""
4.c.9.5,9,שאלות פרט,L5 · דפוס P9 · טקסטים THE SLEEP DEBATE · GIVING TIME,"תשובה קצרה, בלשון הטקסט, עם משפט הוכחה מסומן.",שער סקשן 9,,,CHECK · TIMED · 4 שאלות פרט · טקסט SLEEP DEBATE,,,80% · לכל תשובה נדרש סימון הוכחה.,
4.c.10.1,10,רב-ברירה ואלימינציה,L6 · טקסט THE SCREEN TIME DEBATE,"התלמיד פוסל שיטתית לפני שהוא בוחר, ומזהה את ארבעת סוגי המסיחים.",ארבעת סוגי המסיחים,התלמיד מסווג מסיח לסוג ומסביר למה הוא שגוי.,"מסיחים במודול C אינם אקראיים. יש להם ארבעה סוגים, וברגע שאתה מזהה את הסוג, הפסילה מיידית: 1. פסקה שגויה — נכון, אבל לא במקום שהשאלה ביקשה. 2. מידע נכון, שאלה אחרת — עובדה אמיתית מהטקסט, שלא עונה על מה שנשאל. 3. נכון חלקית — חצי מהמשפט נכון, חצי לא. 4. לא מוזכר — נשמע הגיוני, לא קיים בטקסט.",CLASSIFY · 8 מסיחים אמיתיים מהשיעורים,"""Where they can find swimming classes"" (בשאלה על פסקה I) → פסקה שגויה ⏐ ""How many people visited Greenville from other countries"" (בשאלה על Wu) → מידע נכון, שאלה אחרת ⏐ ""Why he disagrees with Dr. Santos's findings"" → לא מוזכר ⏐ ""Why she chose to study children at Stanford"" → לא מוזכר ⏐ ""Watching videos for up to two hours"" → נכון חלקית — הזמן והפעילות שגויים ⏐ ""Why they are usually slower than children"" → סותר את הטקסט ⏐ ""Dr. Amara Diallo works for Global Forest Watch"" (בשאלת רעיון מרכזי) → מידע נכון, שאלה אחרת ⏐ ""Reading electronic books for more than one hour"" → נכון חלקית",,6/8.,
4.c.10.2,10,רב-ברירה ואלימינציה,L6 · טקסט THE SCREEN TIME DEBATE,"התלמיד פוסל שיטתית לפני שהוא בוחר, ומזהה את ארבעת סוגי המסיחים.","""לא מוזכר"" — הפסילה הזולה",התלמיד מוחק תחילה את מה שלא קיים בטקסט.,"תתחיל מהזול: מבין ארבע האפשרויות, בדרך כלל אחת או שתיים פשוט לא קיימות בטקסט. אתה לא צריך להבין אותן — רק לוודא שהמילים שלהן לא מופיעות. שתי פסילות בעשר שניות, ונשארת עם שתיים.","MCQ · 5 פריטים · שלב פסילה בלבד, בלי לבחור תשובה",,,4/5.,
4.c.10.3,10,רב-ברירה ואלימינציה,L6 · טקסט THE SCREEN TIME DEBATE,"התלמיד פוסל שיטתית לפני שהוא בוחר, ומזהה את ארבעת סוגי המסיחים.",מילה משותפת אינה תשובה,התלמיד לא בוחר אפשרות רק משום שהיא חוזרת על מילה מהשאלה.,הבוחן יודע שהעין שלך מחפשת התאמה. לכן המסיח הכי מפתה הוא זה שמשתמש במילה מהשאלה או מהטקסט. חזרה על מילה אינה ראיה — ראיה היא משפט שעונה על מה שנשאל.,"MCQ · 5 פריטים · לכל אפשרות: ""יש מילה משותפת?"" ו""עונה על השאלה?""",,"""בחרת את האפשרות שחזרה על מילה מהשאלה. זה פיתיון מכוון — בדוק אם היא באמת עונה.""",4/5.,"L6 · טעות מתועדת: ""chooses the first option that mentions a word from the question"""
4.c.10.4,10,רב-ברירה ואלימינציה,L6 · טקסט THE SCREEN TIME DEBATE,"התלמיד פוסל שיטתית לפני שהוא בוחר, ומזהה את ארבעת סוגי המסיחים.",חובה לעבור על כל ארבע,התלמיד קורא את כל האפשרויות לפני שהוא בוחר.,"גם אם האפשרות הראשונה נראית מושלמת — קרא את ארבע. במודול C נפוץ שהאפשרות הראשונה נכונה חלקית, והרביעית נכונה במלואה.",MCQ · 4 פריטים · הממשק מחייב תיוג של כל אפשרות (פוסל / שומר) לפני ההגשה,,,3/4.,"L6 · ""does not check all four options before deciding"""
4.c.10.5,10,רב-ברירה ואלימינציה,L6 · טקסט THE SCREEN TIME DEBATE,"התלמיד פוסל שיטתית לפני שהוא בוחר, ומזהה את ארבעת סוגי המסיחים.",הכרעה בין השתיים ששרדו,"התלמיד מכריע לפי משפט בטקסט, לא לפי תחושה.","נשארת עם שתיים — זה הרגע הקובע. אל תבחר לפי ""מה נשמע יותר טוב"". חזור לטקסט וחפש את המילה שמפרידה ביניהן. בדרך כלל ההבדל הוא מילה אחת: מספר, מגבלה, או שם.",MCQ + MARK · 4 פריטים,"i) Watching videos for up to two hours ✗ ⏐ ii) Playing online games with friends ✗ ⏐ iii) Creative activities like drawing or coding for up to one hour ✓ — *""creative screen activities — such as drawing or coding programmes""* + up to one hour a day ⏐ iv) Reading electronic books for more than one hour ✗",,3/4 · חובה סימון המילה המכריעה.,
4.c.10.6,10,רב-ברירה ואלימינציה,L6 · טקסט THE SCREEN TIME DEBATE,"התלמיד פוסל שיטתית לפני שהוא בוחר, ומזהה את ארבעת סוגי המסיחים.",שער סקשן 10,,,CHECK · 6 פריטים · טקסט SCREEN TIME,"T1: ""What do we learn about the study led by Dr. Emily Park?"" → ii) How many children she studied and how old they were (4,500 · גילאי 8–12)",,80%.,
4.c.11.1,11,השלמת משפט,L7 · דפוס P10 · טקסטים THE JOB REVOLUTION · THE WATER CRISIS,השלמה שמתאימה גם בתוכן וגם בדקדוק לפתיח שניתן.,הפתיח מכתיב את ההמשך,התלמיד קורא את סוף הפתיח ומזהה איזה סוג מילה חייב לבוא אחריו.,"לפני שאתה מחפש בטקסט, הסתכל על שתיים-שלוש המילים האחרונות של הפתיח. Adults who practice regularly ___ דורש פועל. The government gives workers ___ דורש שם עצם. no app can replace ___ דורש שם עצם. זה מצמצם לך את מה שאתה מחפש עוד לפני שהתחלת.","MCQ · 5 פריטים · ""מה חייב לבוא אחרי?""","""Adults who practice regularly ___"" → פועל ⏐ ""The government of Singapore gives workers ___"" → שם עצם ⏐ ""According to Dr. Tanaka, no app can replace ___"" → שם עצם ⏐ ""Participants were ___"" → תואר / ביטוי תיאורי ⏐ ""Over ___ currently have no access to safe drinking water."" → מספר + שם עצם",,4/5.,
4.c.11.2,11,השלמת משפט,L7 · דפוס P10 · טקסטים THE JOB REVOLUTION · THE WATER CRISIS,השלמה שמתאימה גם בתוכן וגם בדקדוק לפתיח שניתן.,"P10 — מצא, התאם, בדוק",שלושת השלבים ברצף.,"שלושה שלבים תמיד באותו סדר: מצא את המשפט בטקסט · התאם רק את החלק שממלא את החור · בדוק שהמשפט המלא תקין דקדוקית. אנשים מדלגים על שלב 3, וזה בדיוק מה שעולה להם בנקודות.",GAP · 4 פריטים,"""The government of Singapore gives workers ___"" → *500 dollars a year to spend on training courses* → JOB REVOLUTION III ⏐ ""Adults who practice regularly ___"" → *usually make good progress in less than two months* → SWIM III ⏐ ""Over ___ currently have no access to safe drinking water."" → *2 billion people* → WATER CRISIS ⏐ ""The three most important skills are ___"" → *critical thinking, digital literacy, and communication* → JOB REVOLUTION II",,3/4.,L7 · I DO + WE DO
4.c.11.3,11,השלמת משפט,L7 · דפוס P10 · טקסטים THE JOB REVOLUTION · THE WATER CRISIS,השלמה שמתאימה גם בתוכן וגם בדקדוק לפתיח שניתן.,לא להתחיל משפט חדש,התלמיד ממשיך את המשפט הקיים ולא כותב משפט עצמאי.,"Complete the sentence פירושו שהמשפט כבר התחיל. אתה ממשיך אותו. תלמידים כותבים משפט שלם חדש — והתוצאה היא משפט כפול שאינו תקין: *""Adults who practice regularly. They make good progress.""*","MCQ · 4 פריטים · שתי השלמות לאותו פתיח, אחת יוצרת משפט תקין",,"""כתבת משפט חדש. קרא את המשפט המלא בקול — הוא לא מתחבר. ההשלמה צריכה להמשיך את מה שכבר כתוב.""",3/4.,"L7 · טעות מתועדת: ""answers with a full new sentence instead of completing the given one"""
